"","publishstate","country","region","year","gho","value","unregion"
"341","Published","Finland","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"342","Published","Finland","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"343","Published","Finland","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"344","Published","Finland","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"345","Published","Ecuador","Americas",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.2,NA
"346","Published","Ecuador","Americas",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.6,NA
"347","Published","Ecuador","Americas",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.4,NA
"348","Published","Ecuador","Americas",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.6,NA
"349","Published","Ecuador","Americas",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.2,NA
"350","Published","Egypt","Eastern Mediterranean",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.4,NA
"351","Published","Egypt","Eastern Mediterranean",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.9,NA
"352","Published","Egypt","Eastern Mediterranean",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",3,NA
"353","Published","Egypt","Eastern Mediterranean",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.3,NA
"354","Published","Egypt","Eastern Mediterranean",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.3,NA
"355","Published","Spain","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"356","Published","Spain","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"357","Published","Spain","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"358","Published","Spain","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"359","Published","Spain","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.4,NA
"360","Published","Spain","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"361","Published","Spain","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"362","Published","Spain","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"363","Published","Spain","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.2,NA
"364","Published","Spain","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",1,NA
"365","Published","Spain","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.2,NA
"366","Published","Spain","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",1,NA
"367","Published","Estonia","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.5,NA
"368","Published","Estonia","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",1,NA
"369","Published","Finland","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"370","Published","Micronesia (Federated States of)","Western Pacific",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",8.1,NA
"371","Published","Micronesia (Federated States of)","Western Pacific",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",15.4,NA
"372","Published","Gabon","Africa",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",8,NA
"373","Published","Gabon","Africa",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.4,NA
"374","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"375","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"376","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"377","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"378","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"379","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"380","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"381","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"382","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"383","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"384","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"385","Published","United Kingdom of Great Britain and Northern Ireland","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"386","Published","Georgia","Europe",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",19.4,NA
"387","Published","Georgia","Europe",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",19.4,NA
"388","Published","Georgia","Europe",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.5,NA
"389","Published","Finland","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"390","Published","Finland","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"391","Published","Finland","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"392","Published","Finland","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"393","Published","Finland","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"394","Published","Finland","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"395","Published","Finland","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"396","Published","Finland","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"397","Published","Fiji","Western Pacific",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.9,NA
"398","Published","Fiji","Western Pacific",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.5,NA
"399","Published","Fiji","Western Pacific",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.4,NA
"400","Published","France","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"401","Published","France","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"402","Published","France","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"403","Published","France","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"404","Published","France","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"405","Published","France","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"406","Published","France","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"407","Published","France","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"408","Published","France","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"409","Published","France","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"410","Published","France","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"411","Published","France","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"412","Published","France","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"413","Published","Georgia","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.7,NA
"414","Published","Georgia","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.1,NA
"415","Published","Georgia","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.9,NA
"416","Published","Georgia","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.5,NA
"417","Published","Georgia","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",11.8,NA
"418","Published","Georgia","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.4,NA
"419","Published","Georgia","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.3,NA
"420","Published","Georgia","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",12.2,NA
"421","Published","Georgia","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",11.3,NA
"422","Published","Georgia","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",8.6,NA
"423","Published","Georgia","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",6.6,NA
"424","Published","Georgia","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",5,NA
"425","Published","Georgia","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.8,NA
"426","Published","Georgia","Europe",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.9,NA
"427","Published","Georgia","Europe",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",5,NA
"428","Published","Ghana","Africa",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",24.5,NA
"429","Published","Ghana","Africa",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",12,NA
"430","Published","Ghana","Africa",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",13.3,NA
"431","Published","Guinea","Africa",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",62.2,NA
"432","Published","Guinea","Africa",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",59.7,NA
"433","Published","Guinea","Africa",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",35.3,NA
"434","Published","Guinea-Bissau","Africa",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",67.1,NA
"435","Published","Greece","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"436","Published","Greece","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"437","Published","Greece","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"438","Published","Greece","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"439","Published","Greece","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"440","Published","Greece","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"441","Published","Greece","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"442","Published","Greece","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",1,NA
"443","Published","Greece","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.2,NA
"444","Published","Greece","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.5,NA
"445","Published","Greece","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",1,NA
"446","Published","Greece","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.5,NA
"447","Published","Greece","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.5,NA
"448","Published","Guatemala","Americas",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",9.2,NA
"449","Published","Guatemala","Americas",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",11.1,NA
"450","Published","Guatemala","Americas",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",8.7,NA
"451","Published","Honduras","Americas",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",21.3,NA
"452","Published","Gambia","Africa",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",45.3,NA
"453","Published","Gambia","Africa",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",25.1,NA
"454","Published","Gambia","Africa",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.1,NA
"455","Published","Guinea-Bissau","Africa",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",53.9,NA
"456","Published","Honduras","Americas",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",26.5,NA
"457","Published","Honduras","Americas",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",22.5,NA
"458","Published","Honduras","Americas",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",17.2,NA
"459","Published","Honduras","Americas",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",16.5,NA
"460","Published","Honduras","Americas",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",13.8,NA
"461","Published","Honduras","Americas",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",15,NA
"462","Published","Honduras","Americas",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",17.1,NA
"463","Published","Hungary","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"464","Published","Hungary","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"465","Published","Hungary","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"466","Published","Hungary","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"467","Published","Hungary","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"468","Published","Indonesia","South-East Asia",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",39.3,NA
"469","Published","Indonesia","South-East Asia",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",35.5,NA
"470","Published","Indonesia","South-East Asia",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",22.8,NA
"471","Published","Indonesia","South-East Asia",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",22.6,NA
"472","Published","Honduras","Americas",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",19.6,NA
"473","Published","Honduras","Americas",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",17.3,NA
"474","Published","Honduras","Americas",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",15.9,NA
"475","Published","Honduras","Americas",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",16.2,NA
"476","Published","Honduras","Americas",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",16,NA
"477","Published","Honduras","Americas",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",17.2,NA
"478","Published","Croatia","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",1,NA
"479","Published","Croatia","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.2,NA
"480","Published","Croatia","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"481","Published","Croatia","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"482","Published","Croatia","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"483","Published","Honduras","Americas",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",23.4,NA
"484","Published","Honduras","Americas",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",28.1,NA
"485","Published","Honduras","Americas",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",27.2,NA
"486","Published","Croatia","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",1,NA
"487","Published","Hungary","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"488","Published","Hungary","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"489","Published","Hungary","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"490","Published","Hungary","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"491","Published","Hungary","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"492","Published","Hungary","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"493","Published","Croatia","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"494","Published","Haiti","Americas",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",25,NA
"495","Published","Hungary","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"496","Published","India","South-East Asia",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",21.2,NA
"497","Published","Ireland","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"498","Published","Ireland","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"499","Published","Ireland","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"500","Published","Ireland","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"501","Published","Ireland","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"502","Published","Ireland","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.1,NA
"503","Published","Ireland","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"504","Published","Indonesia","South-East Asia",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",23.9,NA
"505","Published","Indonesia","South-East Asia",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",21.1,NA
"506","Published","Indonesia","South-East Asia",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",27.4,NA
"507","Published","Indonesia","South-East Asia",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",22.4,NA
"508","Published","Indonesia","South-East Asia",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",21.8,NA
"509","Published","Indonesia","South-East Asia",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",18.2,NA
"510","Published","Indonesia","South-East Asia",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",15.7,NA
"511","Published","Indonesia","South-East Asia",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",13.3,NA
"512","Published","Indonesia","South-East Asia",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",11.6,NA
"513","Published","Indonesia","South-East Asia",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",9.4,NA
"514","Published","Indonesia","South-East Asia",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",7.9,NA
"515","Published","Indonesia","South-East Asia",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",7.2,NA
"516","Published","Indonesia","South-East Asia",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",6.5,NA
"517","Published","Indonesia","South-East Asia",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",5.7,NA
"518","Published","India","South-East Asia",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",38.2,NA
"519","Published","India","South-East Asia",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",31.1,NA
"520","Published","Ireland","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"521","Published","Ireland","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"522","Published","Ireland","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"523","Published","Ireland","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"524","Published","Ireland","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"525","Published","Israel","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"526","Published","Israel","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"527","Published","Israel","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"528","Published","Israel","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"529","Published","Israel","Europe",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"530","Published","Italy","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"531","Published","Italy","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"532","Published","Italy","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"533","Published","Italy","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"534","Published","Italy","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"535","Published","Italy","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"536","Published","Italy","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",1,NA
"537","Published","Italy","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.2,NA
"538","Published","Italy","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.2,NA
"539","Published","Italy","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.2,NA
"540","Published","Italy","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.4,NA
"541","Published","Italy","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.2,NA
"542","Published","Italy","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",2,NA
"543","Published","Ireland","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"544","Published","Iran (Islamic Republic of)","Eastern Mediterranean",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.4,NA
"545","Published","Iran (Islamic Republic of)","Eastern Mediterranean",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.4,NA
"546","Published","Iran (Islamic Republic of)","Eastern Mediterranean",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",1,NA
"547","Published","Iran (Islamic Republic of)","Eastern Mediterranean",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.1,NA
"548","Published","Iran (Islamic Republic of)","Eastern Mediterranean",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"549","Published","Iran (Islamic Republic of)","Eastern Mediterranean",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.3,NA
"550","Published","Iran (Islamic Republic of)","Eastern Mediterranean",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.3,NA
"551","Published","Iraq","Eastern Mediterranean",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.1,NA
"552","Published","Iraq","Eastern Mediterranean",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.5,NA
"553","Published","Iceland","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"554","Published","Iceland","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"555","Published","Iceland","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"556","Published","Iceland","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"557","Published","Iceland","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"558","Published","Iceland","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"559","Published","Iceland","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"560","Published","Iceland","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"561","Published","Iceland","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"562","Published","Iceland","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"563","Published","Israel","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"564","Published","Iceland","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"565","Published","Iceland","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"566","Published","Israel","Europe",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"567","Published","Kazakhstan","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"568","Published","Kenya","Africa",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",36.8,NA
"569","Published","Kyrgyzstan","Europe",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",42.1,NA
"570","Published","Kyrgyzstan","Europe",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",36.4,NA
"571","Published","Kyrgyzstan","Europe",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",34.1,NA
"572","Published","Kyrgyzstan","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",28.1,NA
"573","Published","Kyrgyzstan","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",13.6,NA
"574","Published","Kyrgyzstan","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",15.3,NA
"575","Published","Kyrgyzstan","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",9.9,NA
"576","Published","Kyrgyzstan","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",9.9,NA
"577","Published","Kyrgyzstan","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",4,NA
"578","Published","Kyrgyzstan","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.1,NA
"579","Published","Kyrgyzstan","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.1,NA
"580","Published","Kyrgyzstan","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.8,NA
"581","Published","Kyrgyzstan","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.9,NA
"582","Published","Kyrgyzstan","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.3,NA
"583","Published","Kyrgyzstan","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.3,NA
"584","Published","Kyrgyzstan","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.5,NA
"585","Published","Kyrgyzstan","Europe",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.4,NA
"586","Published","Jamaica","Americas",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.8,NA
"587","Published","Jamaica","Americas",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.7,NA
"588","Published","Jordan","Eastern Mediterranean",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.1,NA
"589","Published","Jordan","Eastern Mediterranean",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.3,NA
"590","Published","Jordan","Eastern Mediterranean",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.1,NA
"591","Published","Jordan","Eastern Mediterranean",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.1,NA
"592","Published","Japan","Western Pacific",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"593","Published","Kazakhstan","Europe",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.3,NA
"594","Published","Kazakhstan","Europe",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",6.8,NA
"595","Published","Kazakhstan","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.6,NA
"596","Published","Kazakhstan","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.3,NA
"597","Published","Kazakhstan","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",6.9,NA
"598","Published","Kazakhstan","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.6,NA
"599","Published","Kazakhstan","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.3,NA
"600","Published","Kazakhstan","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.1,NA
"601","Published","Kazakhstan","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
